comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,ExtraTreesClassifier,0,0.4970194406096639,0.5078947435796242,0.010875302969960254,0.006642066420664228,0.02198304479984836
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,ExtraTreesClassifier,0,0.5125910986962292,0.5234620120530599,0.010870913356830658,0.007380073800737907,0.025049062360668728
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,XGBoostClassifier,25,0.5662292548243963,0.5769362595272334,0.01070700470283703,0.014864864864864935,0.047643622849100176
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,ExtraTreesClassifier,25,0.5259675074241204,0.5360618431925476,0.01009433576842722,-0.004054054054054124,-0.01534526854219953
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,ExtraTreesClassifier,25,0.5304238316842487,0.5404801488741379,0.010056317189889197,0.0175675675675675,0.06217761903412633
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_global_m25,ExtraTreesClassifier,0,0.504580984135416,0.5145756985443204,0.009994714408904426,0.013284132841328344,0.045057983356055153
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,HistGradientBoostingClassifier,0,0.5008210494264574,0.5107710039668254,0.009949954540367956,-0.0007380073800739018,-0.0020698274241346404
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,ExtraTreesClassifier,0,0.5131644609923146,0.5214731562622084,0.008308695269893751,0.005904059040590437,0.019728805938107108
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,ExtraTreesClassifier,0,0.5041542770939357,0.512037338399032,0.007883061305096306,0.011070110701107083,0.037271315939538585
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,HistGradientBoostingClassifier,0,0.5022476461847619,0.5100149205731495,0.007767274388387535,0.019188191881918892,0.06460669066016322
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_global_m25,HistGradientBoostingClassifier,25,0.5590834976199425,0.566207473580492,0.007123975960549478,0.02837837837837831,0.09092306272473927
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_global_m25,HistGradientBoostingClassifier,0,0.5021376664587566,0.5090479032922419,0.00691023683348535,0.02583025830258301,0.08618741431878618
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,XGBoostClassifier,25,0.5678663761601515,0.5747207870371506,0.0068544108769991174,-0.005405405405405461,-0.017019674504776816
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,ExtraTreesClassifier,0,0.5144003797975432,0.521115672328318,0.006715292530774852,0.002952029520295163,0.009869526635535308
