seed,target,feature_set,model,min_rating_count_filter,n_obs,positive_class_share,pr_auc,roc_auc,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,lift_at_5,lift_at_10,lift_at_20,default_f1,tuned_f1,best_threshold,brier_score
33,low_rating_bottom30_bayes_global_m25,content_plus_reliability,ExtraTreesClassifier,0,2704,0.2980769230769231,0.5118089278241721,0.7022378264177781,0.6764705882352942,0.5940959409594095,0.5415896487985212,0.1141439205955335,0.19975186104218362,0.36352357320099254,2.269449715370019,1.9930960599928578,1.8169459185498777,0.35708154506437767,0.35708154506437767,0.5,0.19471835528026749
33,low_rating_bottom30_bayes_global_m25,content_plus_reliability,XGBoostClassifier,0,2704,0.2980769230769231,0.5075441325921124,0.7066247087831778,0.6397058823529411,0.6236162361623616,0.5600739371534196,0.10794044665012408,0.20967741935483872,0.3759305210918114,2.146110056925996,2.092131889060826,1.8789577246437301,0.37683664649956783,0.5095619987661937,0.35,0.18489502370357513
33,low_rating_bottom30_bayes_category_m25,content_plus_reliability,DummyClassifier,0,2704,0.2947485207100592,0.2947485207100592,0.5,0.3161764705882353,0.30996309963099633,0.2809611829944547,0.053952321204516936,0.1053952321204517,0.19071518193224593,1.0726990921839248,1.0516188474306325,0.9532233862195802,0.0,0.4552984861468152,0.05,0.207915170519863
33,low_rating_bottom30_bayes_category_m25,content_plus_reliability,LogisticRegression,0,2704,0.2947485207100592,0.525279828458326,0.723104273432293,0.6985294117647058,0.6642066420664207,0.5804066543438078,0.1191969887076537,0.2258469259723965,0.39397741530740277,2.3699165990109967,2.2534689587799264,1.9691588373220277,0.4492641363284276,0.529620253164557,0.3,0.18133433523212708
33,low_rating_bottom30_bayes_category_m25,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.2947485207100592,0.5230079493183362,0.7217508762210676,0.7058823529411765,0.6715867158671587,0.5711645101663586,0.12045169385194479,0.22835633626097868,0.3877038895859473,2.3948630895269023,2.27850750276637,1.9378028048805942,0.5274390243902439,0.5307262569832403,0.45,0.21220820010348326
33,low_rating_bottom30_bayes_category_m25,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.2947485207100592,0.5176764725929479,0.7259702910560643,0.6911764705882353,0.6383763837638377,0.5452865064695009,0.11794228356336262,0.21706398996235884,0.370138017565872,2.3449701084950916,2.1658340548273736,1.8500059140445801,0.3333333333333333,0.5065015479876162,0.35,0.18091836446916057
33,low_rating_bottom30_bayes_category_m25,content_plus_reliability,ExtraTreesClassifier,0,2704,0.2947485207100592,0.513965991052667,0.7223265799448508,0.6838235294117647,0.6051660516605166,0.5452865064695009,0.11668757841907151,0.205771643663739,0.370138017565872,2.3200236179791864,2.0531606068883774,1.8500059140445801,0.3841714756801319,0.202991452991453,0.6,0.19073524954282822
33,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,0,2704,0.2947485207100592,0.5290808839201715,0.7379258480444825,0.6617647058823529,0.6457564575645757,0.5859519408502772,0.11292346298619825,0.21957340025094102,0.397741530740276,2.2451841464314706,2.1908725988138174,1.9879724567868877,0.3903281519861831,0.5380401704199634,0.35,0.17730668187141418
33,low_rating_bottom30_category_relative,content_plus_reliability,DummyClassifier,0,2704,0.3187869822485207,0.3187869822485207,0.5,0.35294117647058826,0.3505535055350554,0.31608133086876156,0.05568445475638051,0.11020881670533643,0.19837587006960558,1.1071379828033303,1.0996481194510321,0.9915126666695259,0.0,0.4834548513740886,0.05,0.21717673503786447
33,low_rating_bottom30_category_relative,content_plus_reliability,LogisticRegression,0,2704,0.3187869822485207,0.49594874229216945,0.683630977123121,0.6838235294117647,0.5867158671586716,0.5341959334565619,0.10788863109048724,0.18445475638051045,0.3352668213457077,2.145079841681452,1.8404636946601487,1.67571438986838,0.39941477688368693,0.5363598150483396,0.25,0.20026326427675445
