seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
11,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,25,1480,0.22160390002857625,0.16272557065436954,0.22348118517143545,0.47326142999677884,0.474194643444849
11,continuous_bayes_global_m25,content_only_core,DummyRegressor,25,1480,0.19163255896480894,0.14624736348073192,-3.77437143028736e-06,,-2.3440227730032172e-15
11,continuous_bayes_global_m25,content_only_core,Ridge,25,1480,0.1669628243894165,0.12708059046490894,0.2408936807934191,0.5040244764881604,0.49430595026405433
11,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,25,1480,0.1669775056114706,0.1261928152179534,0.2407601768418124,0.4834251517820362,0.4921699205275565
11,continuous_category_residual,content_only_core,DummyRegressor,25,1480,0.2502390745722382,0.1882205828710868,-3.064238612426884e-05,,-2.623059221958639e-17
11,continuous_category_residual,content_only_core,Ridge,25,1480,0.22116394500137954,0.16411829211756673,0.21885489949407577,0.4888427552560596,0.47046716281554984
11,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,25,1480,0.22262347768244442,0.16319393552987616,0.20851081949209227,0.46798227960668154,0.4570771586322536
22,continuous_base_rating,content_only_core,DummyRegressor,25,1480,0.23741134463808958,0.18069506880105252,-3.0104830617050382e-05,,-1.3650147068562996e-16
22,continuous_base_rating,content_only_core,Ridge,25,1480,0.21016015676065866,0.15679378984706133,0.21637026670437998,0.49343740074658954,0.47481864475193236
22,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,25,1480,0.2093191980351114,0.15279987377399576,0.22262912920900824,0.4999159784962903,0.4726411314375979
22,continuous_bayes_global_m25,content_only_core,DummyRegressor,25,1480,0.18059711382740842,0.13956103267324516,-2.9354626331468125e-05,,-1.588407638028075e-15
22,continuous_bayes_global_m25,content_only_core,Ridge,25,1480,0.15840491183687877,0.12024593674195796,0.23064208569462674,0.5002632528141477,0.49100943607316605
22,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,25,1480,0.15724285721439918,0.11735845108178362,0.24188866381303809,0.4994130869803292,0.4920450115460441
22,continuous_category_residual,content_only_core,DummyRegressor,25,1480,0.23502202151985357,0.1791221354760826,-1.8638025645723033e-05,,-7.022094745878956e-18
22,continuous_category_residual,content_only_core,Ridge,25,1480,0.21016057595725673,0.15679445619307955,0.2003618986414425,0.48664327895904586,0.4597381044205084
22,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,25,1480,0.20910418311663617,0.1543426602968782,0.20838061382910378,0.48137651834571576,0.4569078109606193
33,continuous_base_rating,content_only_core,DummyRegressor,25,1480,0.24192492701731053,0.18600344005262873,-5.163373683769734e-05,,2.524082306167703e-15
33,continuous_base_rating,content_only_core,Ridge,25,1480,0.21208143743120056,0.16026250080130344,0.2314599526558666,0.4927570288098556,0.4870198086915128
33,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,25,1480,0.20888910571565528,0.15534724013436277,0.25442254451112556,0.511039026479818,0.5050512776001631
